genres,release_date,user_id,recommend,sentiment_analysis,item_id,item_name,playtime_forever
"['free to play', 'indie', 'rpg', 'strategy']",2018,thepandabearnz1234,True,1,320240,We Happy Few,75.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,Practical_Bears,True,2,222900,Dead Island: Epidemic,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,Killstreakz,True,2,337950,The SKIES,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,theprettybunch,True,2,302510,Ryse: Son of Rome,442.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198054748198,True,2,397620,GooCubelets,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,noodleking645,True,0,10500,Empire: Total War,2168.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,HippoPanda,True,2,9450,"Warhammer 40,000: Dawn of War – Soulstorm",576.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,rielle20,True,2,385770,Time Clickers,122.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,PajaSampoerna,True,2,48700,Mount & Blade: Warband,26533.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198076284786,True,2,214420,Gear Up,1424.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198080118589,True,2,98400,Hard Reset,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,cwalk128,True,0,7770,X-COM: Enforcer,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,MagmaCIaw,True,1,271590,Grand Theft Auto V,39243.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,marcusd101,True,1,208480,Assassin's Creed® III,3569.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,djorpheusmusic,True,2,252950,Rocket League,3041.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198113767906,True,2,232790,Broken Age,378.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198118697312,True,1,420,Half-Life 2: Episode Two,1.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198158553602,True,2,400430,The Vanishing of Ethan Carter Redux,0.0
"['casual', 'free to play', 'indie', 'simulation', 'sports']",2017,HAramabeeHarrrisssooon,True,2,304240,Resident Evil / biohazard HD REMASTER,397.0
"['casual', 'free to play', 'indie', 'simulation', 'sports']",2017,76561198054767146,True,1,220240,Far Cry® 3,1646.0
"['casual', 'free to play', 'indie', 'simulation', 'sports']",2017,76561198070315347,True,2,100,Counter-Strike: Condition Zero Deleted Scenes,0.0
"['casual', 'free to play', 'indie', 'simulation', 'sports']",2017,VanClash,True,2,7760,X-COM: UFO Defense,5244.0
"['casual', 'free to play', 'indie', 'simulation', 'sports']",2017,McCatson,True,0,244810,Foul Play,49.0
"['action', 'adventure', 'casual']",2017,phrostb,True,2,65980,Sid Meier's Civilization: Beyond Earth,0.0
"['action', 'adventure', 'casual']",2017,bindisposerer,True,2,497812,CS:GO Player Profiles: Tarik - Counter Logic Gaming,0.0
"['action', 'adventure', 'casual']",2017,HNSNGIRAFFE,True,2,8930,Sid Meier's Civilization V,54.0
"['action', 'adventure', 'casual']",2017,76561198070700359,True,2,9340,Company of Heroes: Opposing Fronts,0.0
"['action', 'adventure', 'casual']",2017,MurctehGr8,True,0,39560,Painkiller: Resurrection,0.0
"['action', 'adventure', 'casual']",2017,squidamus,True,0,48000,LIMBO,0.0
"['action', 'adventure', 'casual']",2017,muskieratboi,True,0,35450,Rising Storm/Red Orchestra 2 Multiplayer,0.0
"['action', 'adventure', 'simulation']",2018,76561198089393905,True,0,6910,Deus Ex: Game of the Year Edition,2685.0
"['action', 'adventure', 'simulation']",2018,possessioniskey,True,2,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1343.0
"['action', 'adventure', 'simulation']",2018,advenger95,True,0,65800,Dungeon Defenders,33.0
"['action', 'adventure', 'simulation']",2018,76561198069560699,True,2,223630,AirBuccaneers,88.0
"['action', 'adventure', 'simulation']",2018,armouredmarshmallow,True,2,204450,Call of Juarez Gunslinger,369.0
"['action', 'adventure', 'simulation']",2018,assassin_warman,True,0,40390,Risen 2 - Dark Waters,178.0
"['action', 'adventure', 'simulation']",2018,Aurora99,True,1,241620,Inquisitor,216.0
"['action', 'adventure', 'simulation']",2018,76561198165870150,True,2,244090,Sid Meier's Ace Patrol: Pacific Skies,102.0
"['action', 'adventure', 'simulation']",2018,76561198067021476,True,1,260750,Neighbours from Hell,0.0
"['action', 'adventure', 'simulation']",2018,RespekPlox,True,2,291170,Royal Defense,135.0
"['action', 'adventure', 'simulation']",2018,76561198046094676,True,2,253510,Warmachine Tactics,342.0
"['action', 'adventure', 'simulation']",2018,Vladimirputinisgreatman,True,2,318230,Convoy,301.0
"['action', 'adventure', 'simulation']",2018,76561198074561346,True,1,319170,G-Force,279.0
"['action', 'adventure', 'simulation']",2018,ThePyrite99,True,2,349500,Cubicle Quest,158.0
"['action', 'adventure', 'simulation']",2018,cheetahpocalypse,True,2,367580,Hook,221.0
"['action', 'adventure', 'simulation']",2018,ciborg2000,True,2,433950,Bit Blaster XL,221.0
"['action', 'adventure', 'simulation']",2018,SupermanSocks17,True,2,1250,Killing Floor,1646.0
"['action', 'adventure', 'simulation']",2018,DKA013,True,2,268500,XCOM 2,2107.0
"['action', 'adventure', 'simulation']",2018,DerpyAura,True,2,31280,Poker Night at the Inventory,268.0
"['action', 'adventure', 'simulation']",2018,Cab117,True,1,238960,Path of Exile,0.0
"['action', 'adventure', 'simulation']",2018,76561198073725626,True,0,206190,Gunpoint,355.0
"['action', 'adventure', 'simulation']",2018,edgar_its_the_popo,True,0,379720,DOOM,1.0
"['action', 'adventure', 'simulation']",2018,76561198025199025,True,1,8930,Sid Meier's Civilization V,2699.0
"['action', 'adventure', 'simulation']",2018,SGSChief,True,2,227200,Waking Mars,0.0
"['action', 'adventure', 'simulation']",2018,76561198079080583,True,2,343450,Free To Play (Streaming),0.0
"['action', 'adventure', 'simulation']",2018,76561198052512374,True,2,244070,Sid Meier's Ace Patrol,0.0
"['action', 'adventure', 'simulation']",2018,hecaton_john,True,2,34270,SEGA Mega Drive & Genesis Classics,0.0
"['action', 'adventure', 'simulation']",2018,216712138,True,2,17330,Crysis Warhead,0.0
"['action', 'adventure', 'simulation']",2018,IrishNZ,True,1,99810,Bulletstorm,385.0
"['action', 'adventure', 'simulation']",2018,76561198042113307,True,2,214490,Alien: Isolation,703.0
"['action', 'adventure', 'simulation']",2018,Kayndarr,True,2,15700,Oddworld: Abe's Oddysee,15.0
"['action', 'adventure', 'simulation']",2018,76561198042170355,True,2,70420,Chantelise,294.0
"['action', 'adventure', 'simulation']",2018,76561198063391282,True,2,20540,Company of Heroes: Tales of Valor,0.0
"['action', 'adventure', 'simulation']",2018,76561198118549893,True,1,234710,Poker Night 2,252.0
"['action', 'adventure', 'simulation']",2018,lazrknight,True,0,39140,FINAL FANTASY VII,97.0
"['action', 'adventure', 'simulation']",2018,Thelugomes,True,1,321870,Silence of the Sleep,0.0
"['action', 'adventure', 'simulation']",2018,gigantowang,True,1,320,Half-Life 2: Deathmatch,4.0
"['action', 'adventure', 'simulation']",2018,companothemuslim,True,2,409720,BioShock 2 Remastered,0.0
"['action', 'adventure', 'simulation']",2018,76561198055325222,False,2,48950,Greed Corp,0.0
"['action', 'adventure', 'simulation']",2018,76561198051157544,True,2,208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,0.0
"['action', 'adventure', 'simulation']",2018,Wolffeeder,True,2,214560,Mark of the Ninja,97.0
"['action', 'adventure', 'simulation']",2018,76561198101552611,True,2,22650,Alien Breed 2: Assault,0.0
"['action', 'adventure', 'simulation']",2018,135781,True,2,72850,The Elder Scrolls V: Skyrim,163.0
"['action', 'adventure', 'simulation']",2018,whiteruby3,True,0,23300,Yosumin!,0.0
"['action', 'adventure', 'simulation']",2018,MrPickle255,True,2,55110,Red Faction: Armageddon,0.0
"['action', 'adventure', 'simulation']",2018,LICK_LICK_LICK_MY_BALLS,True,2,212480,Sonic & All-Stars Racing Transformed,699.0
"['action', 'adventure', 'simulation']",2018,nitr0ticwolf,True,2,227300,Euro Truck Simulator 2,221.0
"['action', 'adventure', 'simulation']",2018,nitr0ticwolf,True,2,266150,Lost Saga North America,9.0
"['action', 'adventure', 'simulation']",2018,sporelife,True,2,283230,Spoiler Alert,274.0
"['action', 'adventure', 'simulation']",2018,76561198084622842,False,0,328060,Tales Runner,1.0
"['action', 'adventure', 'simulation']",2018,76561198075983645,True,0,280790,Creativerse,1.0
"['action', 'adventure', 'simulation']",2018,revolverace,True,2,41500,Torchlight,0.0
"['action', 'adventure', 'simulation']",2018,76561198092310770,True,2,12220,Grand Theft Auto: Episodes from Liberty City,0.0
"['action', 'adventure', 'simulation']",2018,76561198063241906,True,2,1530,Multiwinia,0.0
"['action', 'adventure', 'simulation']",2018,penguiin1,True,2,234710,Poker Night 2,553.0
"['action', 'adventure', 'simulation']",2018,76561198058535930,True,2,251490,Gravity Ghost,181.0
"['action', 'adventure', 'simulation']",2018,76561198058760041,True,0,221910,The Stanley Parable,156.0
"['action', 'adventure', 'simulation']",2018,76561198053314010,True,2,237930,Transistor,425.0
"['action', 'adventure', 'simulation']",2018,RegularSmokeyJoe,True,1,208090,Loadout,2.0
"['action', 'adventure', 'simulation']",2018,RegularSmokeyJoe,True,1,385770,Time Clickers,7.0
"['action', 'adventure', 'simulation']",2018,SenatorArmstrong123,True,2,312990,The Expendabros,291.0
"['action', 'adventure', 'simulation']",2018,Kaj3n,True,2,246280,Happy Wars,14.0
"['action', 'adventure', 'simulation']",2018,PraiseDuarte,False,2,354500,PAYDAY: The Web Series,0.0
"['action', 'adventure', 'simulation']",2018,fantasticjustice,False,1,356670,Spooky's Jump Scare Mansion,55.0
"['action', 'adventure', 'simulation']",2018,GameTaj,True,2,218230,PlanetSide 2,1258.0
"['action', 'adventure', 'simulation']",2018,GameTaj,True,2,363970,Clicker Heroes,20437.0
"['action', 'adventure', 'simulation']",2018,therealtehN,True,0,300,Day of Defeat: Source,57.0
"['action', 'adventure', 'simulation']",2018,thegreatds,True,1,44320,DiRT 3,279.0
"['action', 'adventure', 'simulation']",2018,76561198043195037,True,2,2400,The Ship,1716.0
"['action', 'adventure', 'simulation']",2018,Tonmonkeyla,True,2,214510,LEGO® The Lord of the Rings™,801.0
"['action', 'adventure', 'simulation']",2018,76561198062278911,True,1,224580,Arma 2: DayZ Mod,3.0
"['action', 'adventure', 'simulation']",2018,76561198060494794,True,2,291550,Brawlhalla,0.0
"['action', 'adventure', 'simulation']",2018,76561198054272239,True,2,359320,Elite Dangerous,206.0
"['action', 'adventure', 'simulation']",2018,76561198084906493,True,1,39160,Dungeon Siege III,81.0
"['action', 'adventure', 'simulation']",2018,76561198040899282,True,2,218740,Pid ,0.0
"['action', 'adventure', 'simulation']",2018,76561198041284313,True,2,267920,Gun Metal,0.0
"['action', 'adventure', 'simulation']",2018,AkiAari,True,1,4000,Garry's Mod,253.0
"['action', 'adventure', 'simulation']",2018,76561198055065409,True,1,497813,CS:GO Player Profiles: Hiko - Team Liquid,0.0
"['action', 'adventure', 'simulation']",2018,Roronage,True,2,301520,Robocraft,0.0
"['action', 'adventure', 'simulation']",2018,wizzfizz01,True,2,234310,March of War,0.0
"['action', 'adventure', 'simulation']",2018,76561198055819674,True,2,242760,The Forest,790.0
"['action', 'adventure', 'simulation']",2018,perrocallejero,True,0,207140,SpeedRunners,4.0
"['action', 'adventure', 'simulation']",2018,Yomani,True,2,304930,Unturned,960.0
"['action', 'adventure', 'simulation']",2018,samuelx5,True,0,35720,Trine 2,669.0
"['action', 'adventure', 'simulation']",2018,linlinlay,True,0,261030,The Walking Dead: Season Two,545.0
"['action', 'adventure', 'simulation']",2018,76561198073094072,True,2,304050,Trove,6323.0
"['action', 'adventure', 'simulation']",2018,bobby09890,True,2,35720,Trine 2,285.0
"['action', 'adventure', 'simulation']",2018,GUNIME,True,0,400,Portal,0.0
"['action', 'adventure', 'simulation']",2018,2sBs,True,0,550,Left 4 Dead 2,2106.0
"['action', 'adventure', 'simulation']",2018,76561198059294520,True,2,2525,Gumboy Crazy Features,0.0
"['action', 'adventure', 'simulation']",2018,dirklah,False,0,237310,Elsword,0.0
"['action', 'adventure', 'simulation']",2018,a4nic8er,True,2,261180,Lethal League,671.0
"['action', 'adventure', 'simulation']",2018,aceofspadesfg,True,0,273350,Evolve Stage 2,11.0
"['action', 'adventure', 'simulation']",2018,mcconnorhey,True,2,301750,RADical ROACH Deluxe Edition,0.0
"['action', 'adventure', 'simulation']",2018,76561198023347592,True,2,225840,Sven Co-op,520.0
"['action', 'adventure', 'simulation']",2018,alfcapone,True,2,523488,Dota 2 Player Profiles: Not Playing Dota With END - VGR,0.0
"['action', 'adventure', 'simulation']",2018,76561198126495215,True,2,730,Counter-Strike: Global Offensive,5594.0
"['action', 'adventure', 'simulation']",2018,AriakWolf,True,2,200210,Realm of the Mad God,0.0
"['action', 'adventure', 'simulation']",2018,ghillieboy,True,2,218230,PlanetSide 2,2928.0
"['action', 'adventure', 'simulation']",2018,AussieSerpine,True,1,243870,Tom Clancy's Ghost Recon Phantoms - NA,593.0
"['action', 'adventure', 'simulation']",2018,76561198073607074,True,2,257400,Fuse,40.0
"['action', 'adventure', 'simulation']",2018,AzzX,True,2,439700,H1Z1: King of the Kill Test Server,0.0
"['action', 'adventure', 'simulation']",2018,76561198080354888,True,2,340,Half-Life 2: Lost Coast,0.0
"['action', 'adventure', 'simulation']",2018,Jeff_is_Back,True,2,265550,Dead Rising 3,637.0
"['action', 'adventure', 'simulation']",2018,76561198070943489,True,2,337410,Karos,1.0
"['action', 'adventure', 'simulation']",2018,BleachedBatman,True,2,10190,Call of Duty: Modern Warfare 2 - Multiplayer,1601.0
"['action', 'adventure', 'simulation']",2018,ClaireBunny,True,2,282070,This War of Mine,2354.0
"['action', 'adventure', 'simulation']",2018,Brendomir,True,2,22300,Fallout 3,920.0
"['action', 'adventure', 'simulation']",2018,BrodyL12,True,2,224260,No More Room in Hell,1820.0
"['action', 'adventure', 'simulation']",2018,76561198060429887,True,0,307880,Savage Lands,250.0
"['action', 'adventure', 'simulation']",2018,76561198071509926,True,2,356370,Soccer Manager 2015,262.0
"['action', 'adventure', 'simulation']",2018,ChaoticRampage,True,1,550,Left 4 Dead 2,17704.0
"['action', 'adventure', 'simulation']",2018,greenclaweddragon,True,2,413150,Stardew Valley,1596.0
"['action', 'adventure', 'simulation']",2018,76561198050243948,True,2,225140,Duke Nukem 3D: Megaton Edition,0.0
"['action', 'adventure', 'simulation']",2018,crashsg32hatesspam,True,0,304930,Unturned,0.0
"['action', 'adventure', 'simulation']",2018,note551,True,2,4000,Garry's Mod,30778.0
"['action', 'adventure', 'simulation']",2018,Dythoras,True,0,234310,March of War,254.0
"['action', 'adventure', 'simulation']",2018,CrazyKidGo,True,2,286080,Thinking with Time Machine,18.0
"['action', 'adventure', 'simulation']",2018,icripsy,True,2,224260,No More Room in Hell,201.0
"['action', 'adventure', 'simulation']",2018,76561198088699917,True,2,304930,Unturned,44.0
"['action', 'adventure', 'simulation']",2018,caffinatedshit,True,2,346330,BrainBread 2,4.0
"['action', 'adventure', 'simulation']",2018,76561198127261950,True,2,107100,Bastion,139.0
"['action', 'adventure', 'simulation']",2018,rengnar,True,2,206420,Saints Row IV,6536.0
"['action', 'adventure', 'simulation']",2018,76561198072802409,True,2,420790,StarBreak,41.0
"['action', 'adventure', 'simulation']",2018,FDAOP,True,2,4000,Garry's Mod,21928.0
"['action', 'adventure', 'simulation']",2018,defox01,True,2,282660,EAC eSports,16.0
"['action', 'adventure', 'simulation']",2018,Chinonso2,True,1,302380,Floating Point,96.0
"['action', 'adventure', 'simulation']",2018,Denroxyou,True,2,335330,Brick-Force,24.0
"['action', 'adventure', 'simulation']",2018,76561198070519095,True,2,386510,Pyramid Raid,9.0
"['action', 'adventure', 'simulation']",2018,tastyniggers69,False,1,220240,Far Cry® 3,164.0
"['action', 'adventure', 'simulation']",2018,Dimmerworld,True,2,251570,7 Days to Die,371.0
"['action', 'adventure', 'simulation']",2018,76561198043636856,True,1,304930,Unturned,1421.0
"['action', 'adventure', 'simulation']",2018,dubstep3000,True,2,300,Day of Defeat: Source,0.0
"['action', 'adventure', 'simulation']",2018,76561198010698336,True,0,238960,Path of Exile,0.0
"['action', 'adventure', 'simulation']",2018,76561198063000481,True,2,49520,Borderlands 2,11843.0
"['action', 'adventure', 'simulation']",2018,Ehryus,True,2,232750,Mars: War Logs,185.0
"['action', 'adventure', 'simulation']",2018,76561198094065803,True,2,35420,Killing Floor Mod: Defence Alliance 2,0.0
"['action', 'adventure', 'simulation']",2018,Eudanil,True,2,214870,Painkiller Hell & Damnation,145.0
"['action', 'adventure', 'simulation']",2018,FadedTemplar,True,2,312150,Wild Warfare,14.0
"['action', 'adventure', 'simulation']",2018,Ifuckedmycompanioncube,False,2,326740,Black Fire,199.0
"['action', 'adventure', 'simulation']",2018,76561198057540371,False,1,281370,Real Horror Stories Ultimate Edition,261.0
"['action', 'adventure', 'simulation']",2018,76561198086945652,True,1,380,Half-Life 2: Episode One,216.0
"['action', 'adventure', 'simulation']",2018,pancakesss,True,2,12210,Grand Theft Auto IV,0.0
"['action', 'adventure', 'simulation']",2018,pancakesss,True,2,40930,The Misadventures of P.B. Winterbottom,110.0
"['action', 'adventure', 'simulation']",2018,76561198147471031,True,2,225160,Shadow Warrior Classic Redux,1188.0
"['action', 'adventure', 'simulation']",2018,Forevertorpid,True,2,255520,Viscera Cleanup Detail: Shadow Warrior,7.0
"['action', 'adventure', 'simulation']",2018,76561198091199302,True,1,219150,Hotline Miami,0.0
"['action', 'adventure', 'simulation']",2018,76561198188011631,True,2,409710,BioShock Remastered,0.0
"['action', 'adventure', 'simulation']",2018,76561198051582488,True,0,359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,8.0
"['action', 'adventure', 'simulation']",2018,skylordjosh,True,2,333930,Dirty Bomb,1744.0
"['action', 'adventure', 'simulation']",2018,Veelee,False,2,212910,Call of Duty: Black Ops II - Zombies,202.0
"['action', 'adventure', 'simulation']",2018,76561198085780775,False,1,38830,CrimeCraft GangWars,0.0
"['action', 'adventure', 'simulation']",2018,Halistrogue,True,2,238460,BattleBlock Theater,121.0
"['action', 'adventure', 'simulation']",2018,76561198112280759,True,0,317360,Double Action: Boogaloo,89.0
"['action', 'adventure', 'simulation']",2018,ZeMadScientist,True,2,1250,Killing Floor,734.0
"['action', 'adventure', 'simulation']",2018,plebatron,True,0,232150,Killing Floor 2 - SDK,0.0
"['action', 'adventure', 'simulation']",2018,hipachi,True,2,6250,Making History: The Calm & The Storm,0.0
"['action', 'adventure', 'simulation']",2018,76561198053617943,True,1,10180,Call of Duty: Modern Warfare 2,999.0
"['action', 'adventure', 'simulation']",2018,76561198044127701,True,2,620,Portal 2,138.0
"['action', 'adventure', 'simulation']",2018,hoytie2003BATMAN,True,2,92220,GundeadliGne,0.0
"['action', 'adventure', 'simulation']",2018,bigbootybitches420699,True,0,205590,Legends of Pegasus,0.0
"['action', 'adventure', 'simulation']",2018,76561198047247007,True,1,228200,Company of Heroes (New Steam Version),1.0
"['action', 'adventure', 'simulation']",2018,ifrit723,True,1,9450,"Warhammer 40,000: Dawn of War – Soulstorm",0.0
"['action', 'adventure', 'simulation']",2018,Alexander2539,False,0,233270,Far Cry® 3 Blood Dragon,0.0
"['action', 'adventure', 'simulation']",2018,ImM4RK5M4N,True,2,261530,Lifeless Planet,144.0
"['action', 'adventure', 'simulation']",2018,bossetrongaming,True,2,287120,Ionball 2 : Ionstorm,0.0
"['action', 'adventure', 'simulation']",2018,76561198045145306,True,1,202990,Call of Duty: Black Ops II - Multiplayer,0.0
"['action', 'adventure', 'simulation']",2018,76561198054693746,True,2,6060,STAR WARS™ Battlefront™ II,0.0
"['action', 'adventure', 'simulation']",2018,JBaadargo,True,2,319630,Life Is Strange™,0.0
"['action', 'adventure', 'simulation']",2018,76561198084382139,True,2,2200,Quake III Arena,142.0
"['action', 'adventure', 'simulation']",2018,justgamingXD,True,2,6020,STAR WARS™ Jedi Knight: Jedi Academy™,1009.0
"['action', 'adventure', 'simulation']",2018,76561198093301565,True,1,47810,Dragon Age: Origins - Ultimate Edition,9424.0
"['action', 'adventure', 'simulation']",2018,76561198077663677,True,1,22380,Fallout: New Vegas,771.0
"['action', 'adventure', 'simulation']",2018,imapiraet,True,2,730,Counter-Strike: Global Offensive,774.0
"['action', 'adventure', 'simulation']",2018,kirbysmashed,False,2,312990,The Expendabros,0.0
"['action', 'adventure', 'simulation']",2018,76561198060941201,True,2,212800,Super Crate Box,0.0
"['action', 'adventure', 'simulation']",2018,76561198070009309,True,2,212070,Star Conflict,311.0
"['action', 'adventure', 'simulation']",2018,LagartoDosArroiz,True,1,35720,Trine 2,129.0
"['action', 'adventure', 'simulation']",2018,LeSaite,True,2,409710,BioShock Remastered,0.0
"['action', 'adventure', 'simulation']",2018,LemmyID,False,1,113200,The Binding of Isaac,145.0
"['action', 'adventure', 'simulation']",2018,leva49,True,2,367540,Starbound - Unstable,5.0
"['action', 'adventure', 'simulation']",2018,loafofcheese,True,0,34330,Total War: SHOGUN 2,14527.0
"['action', 'adventure', 'simulation']",2018,76561198080459478,True,2,70000,Dino D-Day,7.0
"['action', 'adventure', 'simulation']",2018,76561198076533123,True,1,213650,Dwarfs F2P,87.0
"['action', 'adventure', 'simulation']",2018,76561198076533123,True,1,57740,Jagged Alliance - Back in Action,204.0
"['action', 'adventure', 'simulation']",2018,keggles,True,2,65930,The Bureau: XCOM Declassified,354.0
"['action', 'adventure', 'simulation']",2018,LummusMaximus,True,2,322910,"Warhammer 40,000: Regicide",92.0
"['action', 'adventure', 'simulation']",2018,macro_11,False,1,444560,Agent Origins: Escape,10.0
"['action', 'adventure', 'simulation']",2018,Raiseyourdongersss,True,0,55150,"Warhammer 40,000 Space Marine",1504.0
"['action', 'adventure', 'simulation']",2018,Friendler,True,2,20540,Company of Heroes: Tales of Valor,86.0
"['action', 'adventure', 'simulation']",2018,76561198091190397,True,2,210770,Sanctum 2,0.0
"['action', 'adventure', 'simulation']",2018,alec12734,True,2,239820,Game Dev Tycoon,694.0
"['action', 'adventure', 'simulation']",2018,Duskems,True,0,252490,Rust,2265.0
"['action', 'adventure', 'simulation']",2018,76561198091272808,True,0,268750,Magicite,81.0
"['action', 'adventure', 'simulation']",2018,meachie,True,2,246580,The Typing of The Dead: Overkill,0.0
"['action', 'adventure', 'simulation']",2018,76561198072358583,True,1,319510,Five Nights at Freddy's,287.0
"['action', 'adventure', 'simulation']",2018,76561198066306064,True,1,228200,Company of Heroes (New Steam Version),6230.0
"['action', 'adventure', 'simulation']",2018,theHALOgod10159,True,2,225420,Cities in Motion 2,160.0
"['action', 'adventure', 'simulation']",2018,76561198056265599,True,0,105600,Terraria,7527.0
"['action', 'adventure', 'simulation']",2018,mgooisu,True,2,242760,The Forest,310.0
"['action', 'adventure', 'simulation']",2018,76561198060407498,True,2,344750,Deadly Profits,0.0
"['action', 'adventure', 'simulation']",2018,qwertybmwh1994,True,2,346110,ARK: Survival Evolved,963.0
"['action', 'adventure', 'simulation']",2018,MuellerJ7,True,2,202170,Sleeping Dogs™,636.0
"['action', 'adventure', 'simulation']",2018,mutatedwombat,True,2,224860,Arma Tactics,0.0
"['action', 'adventure', 'simulation']",2018,76561197961051810,True,1,310950,Street Fighter V,10564.0
"['action', 'adventure', 'simulation']",2018,76561198052909583,True,2,329050,Devil May Cry® 4 Special Edition,428.0
"['action', 'adventure', 'simulation']",2018,Zewaffleman,True,1,219640,Chivalry: Medieval Warfare,640.0
"['action', 'adventure', 'simulation']",2018,Newboy65,True,2,394510,HELLDIVERS™,1136.0
"['action', 'adventure', 'simulation']",2018,Nipsey,True,0,550,Left 4 Dead 2,6287.0
"['action', 'adventure', 'simulation']",2018,obcs,True,0,23310,The Last Remnant,44.0
"['action', 'adventure', 'simulation']",2018,76561198031838821,True,2,4000,Garry's Mod,8531.0
"['action', 'adventure', 'simulation']",2018,76561198045467294,True,2,200510,XCOM: Enemy Unknown,2190.0
"['action', 'adventure', 'simulation']",2018,76561198074311354,True,2,206500,AirMech,30.0
"['action', 'adventure', 'simulation']",2018,76561198046075289,True,2,203290,America's Army: Proving Grounds,135.0
"['action', 'adventure', 'simulation']",2018,76561197999140519,True,0,407530,ARK: Survival Of The Fittest,0.0
"['action', 'adventure', 'simulation']",2018,76561198077512503,True,1,400,Portal,196.0
"['action', 'adventure', 'simulation']",2018,alphatilde,True,1,232010,Euro Truck Simulator,54.0
"['action', 'adventure', 'simulation']",2018,Alirayzack,True,1,232430,Gone Home,206.0
